Date,Open,High,Low,Close,Adj Close,Volume
5/14/2020,82.720001,88.110001,82.400002,87.519997,79.442627,35152500
5/15/2020,86.849998,87.279999,85.300003,85.900002,77.972122,26099000
5/18/2020,88.690002,91.150002,87.879997,90.449997,82.102211,30504400
5/19/2020,90.050003,91.199997,88.589996,88.669998,80.486488,19597300
5/20/2020,90.709999,92.389999,90.370003,91.330002,82.901001,20552400
5/21/2020,90.269997,91.760002,89.669998,90.169998,81.848045,14621400
5/22/2020,90.010002,90.360001,88.720001,89.470001,81.212646,13557900
5/26/2020,92.889999,97.5,92.610001,95.82,86.976601,41233900
5/27/2020,102.07,102.580002,98.800003,101.370003,92.014397,39402000
5/28/2020,102.940002,102.949997,99.400002,99.860001,90.643745,24713900
5/29/2020,98.660004,99.18,96.779999,97.309998,88.329094,26526400
6/1/2020,97.75,99.510002,97.379997,98.599998,89.500031,15176800
6/2/2020,100.279999,100.419998,97.93,98.93,89.799568,21195000
6/3/2020,101.580002,104.919998,101.059998,104.269997,94.646736,25941100
6/4/2020,103.82,106.610001,102.790001,106.440002,96.61647,26784700
6/5/2020,114.93,115.769997,109.529999,111.230003,100.964401,42231000
6/8/2020,113.410004,114.190002,111.940002,113.449997,102.979492,24881800
6/9/2020,110.650002,111.629997,109.010002,110.540001,100.338066,17031100
6/10/2020,110.459999,110.510002,105.849998,106.059998,96.271545,24913300
6/11/2020,100.029999,101.580002,96.540001,97.209999,88.238312,36259200
6/12/2020,100.709999,101.129997,97.330002,99.870003,90.652824,24856800
6/15/2020,96.419998,101.43,95.870003,101.25,91.905457,22153600
6/16/2020,105.370003,105.68,99.309998,102.059998,92.640701,22193600
6/17/2020,102.529999,102.540001,99.209999,99.480003,90.298836,15639800
6/18/2020,98.669998,100.519997,98.129997,98.940002,89.808655,16591900
6/19/2020,100.529999,100.599998,96.730003,97.809998,88.782928,40371200
6/22/2020,97.25,97.949997,96.540001,96.75,87.820778,16216900
6/23/2020,98.970001,99.970001,97.849998,97.93,88.891861,15381400
6/24/2020,96.75,96.839996,94.309998,94.660004,85.92366,22919800
6/25/2020,94.349998,98.209999,94.260002,97.959999,88.919098,25743600
6/26/2020,95.110001,95.370003,92,92.589996,84.044693,41896300
6/29/2020,93.400002,94.489998,92.18,93,84.41687,18499700
6/30/2020,92.830002,94.660004,92.57,94.059998,85.379028,19137000
7/1/2020,94.889999,95.709999,93.029999,93.260002,84.65287,18755700
7/2/2020,94.739998,94.959999,91.93,92.660004,84.927841,27845600
7/6/2020,94.43,95.199997,93.480003,95,87.072563,18625300
7/7/2020,93.82,94.099998,92,92.32,84.616226,25757200
7/8/2020,92.290001,93.339996,91.800003,93.300003,85.514427,18762200
7/9/2020,93.519997,94.120003,90.779999,91.279999,83.662979,25600800
7/10/2020,92,96.839996,91.870003,96.269997,88.23658,28954200
7/13/2020,98.730003,99.269997,96.230003,97.650002,89.501434,32079200
7/14/2020,98.370003,99.949997,96.639999,98.209999,90.014709,42731700
7/15/2020,100.889999,101.290001,98.650002,99.730003,91.407867,22508400
7/16/2020,98.779999,101.220001,98.550003,100.010002,91.66452,16886900
7/17/2020,100,100.080002,98.139999,98.160004,89.96888,16137700
7/20/2020,97.43,98.389999,97.260002,97.300003,89.180656,14458100
7/21/2020,97.709999,100.050003,97.639999,99.410004,91.114578,17798100
7/22/2020,99.650002,100.129997,97.529999,98.690002,90.454659,14271200
7/23/2020,98.5,99.349998,97.970001,98.980003,90.720459,12870200
7/24/2020,99.599998,99.800003,97.940002,98.279999,90.078865,12744200
7/27/2020,97.510002,97.629997,96.169998,96.900002,88.814011,11959100
7/28/2020,96.5,97.889999,96.5,97.32,89.198967,11754300
7/29/2020,97.07,99.709999,97,99.68,91.362038,12743500
7/30/2020,97.540001,97.739998,96.050003,97.019997,88.924004,14834800
7/31/2020,96.480003,96.93,95.25,96.639999,88.575722,14535000
8/3/2020,97.019997,97.57,95.849998,96.099998,88.08078,12962800
8/4/2020,95.910004,95.949997,95.029999,95.550003,87.576668,13366200
8/5/2020,95.870003,98.470001,95.720001,97.209999,89.098152,15260900
8/6/2020,97.580002,98.099998,96.540001,97.239998,89.125648,10482100
8/7/2020,96.93,99.489998,96.559998,99.379997,91.087082,14743700
8/10/2020,100.110001,102.040001,100.029999,100.639999,92.241936,14989900
8/11/2020,103.860001,106.160004,103.510002,103.82,95.15657,31518600
8/12/2020,106.160004,106.43,101.709999,102.940002,94.350006,19240800
8/13/2020,102,103.360001,101.639999,102.370003,93.827576,13598600
8/14/2020,101.5,103.309998,101.419998,102.410004,93.864235,12134400
8/17/2020,101.5,102,99.529999,99.709999,91.389542,14988000
8/18/2020,99.910004,99.910004,98.120003,98.32,90.11554,13246500
8/19/2020,98.919998,100.589996,98.339996,98.550003,90.326332,13533000
8/20/2020,97.260002,98.029999,96.800003,97.370003,89.244804,13672600
8/21/2020,97.269997,98.57,96.940002,97.32,89.198967,12228300
8/24/2020,98.449997,100.209999,97.419998,100.059998,91.71032,17898300
8/25/2020,101.269997,101.980003,99.800003,100.5,92.113617,13648900
8/26/2020,99.940002,100.269997,99.050003,99.089996,90.821274,12052400
8/27/2020,99,102.650002,99,102.349998,93.80925,22163900
8/28/2020,103.139999,103.25,101.809998,102.769997,94.194183,13756700
8/31/2020,102.120003,102.18,100.019997,100.190002,91.829491,14219400
9/1/2020,99.550003,100.870003,99.040001,100.139999,91.783661,11595600
9/2/2020,99.949997,101.940002,99.559998,101.650002,93.167648,14475700
9/3/2020,103.32,104.989998,100.639999,101.330002,92.874374,23281200
9/4/2020,104.050003,105.209999,101.370003,103.519997,94.881599,26325500
9/8/2020,102.980003,103.57,99.480003,99.919998,91.582016,22108600
9/9/2020,100.800003,101.690002,99.559998,100.870003,92.452736,13434000
9/10/2020,101.400002,102.419998,99.639999,99.830002,91.499527,15922800
9/11/2020,99.970001,101.360001,99.589996,101.07,92.636055,13784300
9/14/2020,101.510002,103.459999,101.370003,102.470001,93.919228,19017400
9/15/2020,102.730003,102.849998,99.139999,99.279999,90.995415,23683000
9/16/2020,99.43,101.129997,98.760002,99.699997,91.380371,19270600
9/17/2020,98.699997,99.339996,97.709999,98.559998,90.335503,18290100
9/18/2020,97.889999,99.489998,97.440002,98.349998,90.143028,20121600
9/21/2020,95.199997,96.050003,93.82,95.309998,87.356705,28378800
9/22/2020,94.959999,95.660004,93.669998,94.269997,86.403481,19257000
9/23/2020,94.779999,95.349998,92.660004,92.739998,85.001167,19952700
9/24/2020,92.32,94.300003,91.379997,92.660004,84.927841,18366500
9/25/2020,92.050003,93.720001,91.870003,93.470001,85.67025,13293100
9/28/2020,95.059998,96.93,94.349998,96.160004,88.135773,20894100
9/29/2020,96.029999,96.029999,94.330002,95.349998,87.393356,12848200
9/30/2020,95.349998,97.199997,95.260002,96.269997,88.23658,16400600
10/1/2020,97.120003,97.769997,96.029999,96.970001,88.878189,15778700
10/2/2020,95.25,98.589996,95.089996,97.889999,89.721405,15149600
10/5/2020,98.32,99.25,97.529999,99.040001,91.617775,13871900
10/6/2020,100.07,100.860001,97.510002,98.019997,90.674225,19220400
10/7/2020,98.959999,100.349998,98.669998,99.730003,92.256081,16358500
10/8/2020,100.510002,101.919998,99.900002,101.779999,94.152435,15659000
10/9/2020,102,102.110001,100.110001,101.199997,93.615898,13689100
10/12/2020,101.099998,103,100.849998,102.440002,94.762985,16058000
10/13/2020,103,103.220001,100.260002,100.779999,93.227386,21697300
10/14/2020,101.029999,101.93,100.099998,100.220001,92.709351,15204100
10/15/2020,99.099998,101.779999,99.040001,101.720001,94.096947,17171200
10/16/2020,101.410004,102.330002,100.720001,101.510002,93.902687,13275000
10/19/2020,101.599998,101.870003,99.559998,99.800003,92.320816,11725700
10/20/2020,100.309998,101.769997,100.120003,100.370003,92.848114,11257100
10/21/2020,100.360001,100.989998,99.330002,99.370003,91.92305,10730500
10/22/2020,99.32,103.239998,99.309998,102.879997,95.170013,14837200
10/23/2020,103.5,104.449997,102.93,103.809998,96.030312,15087600
10/26/2020,102.650002,102.699997,100.25,101.239998,93.652908,12410700
10/27/2020,100.510002,100.919998,99.160004,99.330002,91.886055,10391700
10/28/2020,97.5,98.300003,96.07,96.540001,89.305138,16389500
10/29/2020,96.120003,97.980003,95.239998,97.169998,89.887947,14208800
10/30/2020,97.910004,98.419998,96.230003,98.040001,90.692734,15194500
11/2/2020,99.389999,100.879997,97.860001,100.25,92.737091,15011600
11/3/2020,103.019997,104.739998,102.690002,103.410004,95.660301,17482600
11/4/2020,101,102.07,98.93,100.25,92.737091,18886500
11/5/2020,101.059998,105.099998,101,104.349998,96.529846,17837400
11/6/2020,105.029999,105.099998,102.389999,102.959999,95.244011,12552800
11/9/2020,113.160004,118.900002,110.349998,116.900002,108.139313,47792400
11/10/2020,117.349998,117.449997,114.690002,116.519997,107.787796,20539300
11/11/2020,116.889999,116.959999,113.959999,114.779999,106.178207,14443400
11/12/2020,112.529999,113.959999,112.059998,113.370003,104.873871,22063000
11/13/2020,114.699997,114.860001,113.57,114.080002,105.530663,11847900
11/16/2020,117.790001,118.610001,115.730003,117.300003,108.509369,19858600
11/17/2020,115.389999,116.440002,114.580002,116.110001,107.408539,14553200
11/18/2020,117.339996,118.610001,115.199997,115.25,106.612976,12571200
11/19/2020,114.18,115.82,113.559998,115.559998,106.899742,10202500
11/20/2020,114.43,115.650002,114.089996,114.57,105.983932,12718900
11/23/2020,116.050003,118.169998,115.57,117.870003,109.036629,13209200
11/24/2020,120.07,123.5,119.709999,123.32,114.078194,20121600
11/25/2020,121.370003,122.379997,120.470001,122.029999,112.884872,11715600
11/27/2020,122,122.349998,121.080002,121.220001,112.135574,5983600
11/30/2020,120,120.720001,117.769997,117.879997,109.045876,14411800
12/1/2020,120.339996,121.580002,119.629997,119.739998,110.766495,12668900
12/2/2020,119.699997,122.309998,119.269997,122.040001,112.894127,10811300
12/3/2020,121.849998,121.889999,120.360001,121.239998,112.154083,12904400
12/4/2020,122.480003,123.290001,121.690002,122.339996,113.171646,13583700
12/7/2020,121.150002,122.169998,120.209999,121.879997,112.746109,9724300
12/8/2020,121.040001,122.330002,120.760002,122,112.857117,9592100
12/9/2020,123.169998,123.300003,120.440002,121.050003,111.978333,13073900
12/10/2020,119.989998,120.779999,119.559998,120.269997,111.256767,13668400
12/11/2020,118.940002,120.019997,118.370003,119.559998,110.599983,9981600
12/14/2020,121.339996,121.419998,118.110001,118.300003,109.43441,12112400
12/15/2020,119.290001,120.900002,118.620003,120.32,111.303032,12590200
12/16/2020,120.300003,121.080002,119.860001,120.669998,111.626785,11169400
12/17/2020,121.260002,121.449997,119.580002,119.669998,110.701744,11618000
12/18/2020,119.139999,119.879997,118.269997,119.080002,110.155952,28954800
12/21/2020,123.169998,125,121.089996,123.550003,114.290962,28323600
12/22/2020,123.389999,123.519997,121.610001,121.669998,112.551865,11788200
12/23/2020,122.779999,126.519997,122.349998,125.07,115.69706,14973200
12/24/2020,125.089996,125.550003,123.57,124.519997,115.188271,4164900
